Site;Latitude;Longitude;PS_plus_proche;Distance_km;
Port-Sainte-Marie;44.25515826765999; 0.3674391187951908;Bruch;6.743235;
ST VITE Fontauzel;44.467715449711584; 0.9512009580973111;Fumel;3.333254;
Calonges;44.369287266323795; 0.23806561998608539;Tonneins;7.150492;
Saint Sardos;44.34740110093797; 0.47506335314925574;Sainte-Livrade-sur-Lot;11.781524;
Gontaud de Nogaret;44.458887776581236; 0.3015191081648969;Gontaud-de-Nogaret;2.700712;
Bassens;;;;;
Villereal;44.6335059614562; 0.7416141141605946;Doudrac;6.486741;
Monflanquin;44.53218984401441; 0.771866617251872;Cancon;9.959013;
Caudecoste;44.10720482619162; 0.7515852985732685;Saint-Antoine;9.256339;
Laplume;44.09233055910862; 0.5558480075856248;Le Passage;13.201349;
Sérignac sur Garonne;44.21873726854135; 0.4824647157633831;Bruch;5.527963;
Meilhan sur Garonne;44.492925952621974; 0.06524784729842985;Marmande;8.539680;
Samazan;44.43045898642088; 0.12507288734554925;Marmande;8.315127;
Le Nomdieu/St Vincent de Lamontjoie;44.093656050135095; 0.47920987322057673;Bruch;13.415476;
Garrigues Marmande;44.487028034329775; 0.1905736373783764;Marmande;0.332076;
Castillonnès Moulin;44.66283523782728; 0.6020536220121969;Doudrac;5.338799;
Négrondes;45.33690470074304; 0.8683808010033138;Thiviers;8.499191;
La Douze;45.043508681748406; 0.8683827815003581;Fossemagne;13.913940;
Monbahus Les Laurens;44.53551561150416; 0.507053795338126;Tombebœuf;6.323758;
Lasserre Moncrabeau;44.065280861245675; 0.36744865643084174;Nérac;9.762985;
Seyches;44.55324705388869; 0.3097825341918902;Gontaud-de-Nogaret;8.357264;
Meilhan Adena;44.50866846549428; 0.032461559753953276;La Réole;10.634014;
Port Sainte Foy;44.83879498113018; 0.19578562660142287;Pineuilh;3.140265;
Lévignac de Guyenne;44.62260482830027; 0.2011595329178026;Marmande;12.354023;
Temple sur Lot;44.374757980055044; 0.5067429564488766;Sainte-Livrade-sur-Lot;8.318495;
Varès;44.41630077566615; 0.33827130859798465;Tonneins;2.643443;
Lamothe Mongauzy;44.56398265471214; 0.03939783444073703;La Réole;6.497730;
Le Puy;44.656869723355186; 0.07072361529056334;Auriolles;10.196895;
Layrac Vigneau;44.10607582025837; 0.6067700483012713;Boé;8.717306;
Bergerac (Abattoir) BO;44.85472329401987; 0.5123279914557339;Bergerac;2.689344;
Boulazac (Saint Laurent - Abattoir) DFG;45.153084071719825;0.7891231593052502;Boulazac Isle Manoire;3.848224;
Chamberlanne Aliments;45.225937437644326; 0.04702328764110991;Chalais;5.431353;
(Blason d'Or ST Laurent) Bergerac DFG;44.85552810703537;0.5223902379690727;Bergerac;3.238704;
Tomates d'Aquitaine Bergerac;44.8506500843342; 0.45444536724715895;Bergerac;2.953549;
Couvée d'Aquitaine;44.41334262194176; 0.3141172636568187;Tonneins;0.695680;
Castel Maïs Casteljaloux;44.325765914133996; 0.08539686553931598;Casteljaloux;1.068584;
Mussidan (InovChataigné);45.039080394076144; 0.36550855293358064;Saint-Médard-de-Mussidan;2.585886;
Busserolles (InovChataigné);;;;;
Lamonzie Saint Martin (InovChataigné);;;;;
Saint Médard de Mussidan (InovChataigné);45.043134496682136; 0.34930214084774874;Saint-Médard-de-Mussidan;1.995246;
Saint Michel de Double (InovChataigné);;;;;
Vézac;44.83292512786135; 1.1647963853992223;Sarlat-la-Canéda;5.769931;
Penne (Silo);44.38034227876831; 0.8027115004773183;Villeneuve-sur-Lot;6.805418;
Penne GV (Vendu);;;;;
Verteuil Silo (Vendu);;;;;
Verteuil Magasin (Vendu);;;;;
