Nom Commune;Latitude;Longitude
Uckange;49.29971637364282; 6.13359081630058
Grande-Synthe;51.01205074154929; 2.279512980790241
Val-de-Bride;48.81805619990365; 6.703910778449267
Staffelfelden;47.83101570390831; 7.2724714321058945
Villiers-le-Bel;49.01149661289023; 2.4074881053419928
Mouthier-Haute-Pierre;47.02930529004348; 6.28560116905179
Le Coteau;46.033491036016514; 4.086696111234276
Rives-en-Seine;49.52209358157239; 0.7574405679717425
Aire-sur-la-Lys;50.64421834584317; 2.3955651827741336
Lavelanet;42.922204208251905; 1.8338390679218843
Aussillon;43.51197029978554; 2.3634301297655567
Limoges;45.861777664592104; 1.281277979680309
Limoges;45.83220714266917; 1.2751009474844601
Champagnac-la-Rivière;45.719621043948784; 0.8992045615479102
Cléder;48.64481170211835; -4.133217851200832
Quimper;48.00555551759849; -4.127046153372283
