Site;Latitude;Longitude;PS_plus_proche;PS_latitude;PS_longitude;Distance_km
Garrigues Marmande;44.487028034329775; 0.1905736373783764;Marmande;44.486299794815935;0.1946223399658521;0.332076
Castillonnès Moulin;44.66283523782728; 0.6020536220121969;Doudrac;44.66076459938722;0.6693072509329964;5.338799
Négrondes;45.33690470074304; 0.8683808010033138;Thiviers;45.40982072857211;0.9010885673073068;8.499191
La Douze;45.043508681748406; 0.8683827815003581;Fossemagne;45.14105730753672;0.9791794499691232;13.913940
Monbahus Les Laurens;44.53551561150416; 0.507053795338126;Tombebœuf;44.50034163154989;0.4445272901086244;6.323758
Lasserre Moncrabeau;44.065280861245675; 0.36744865643084174;Nérac;44.14748166373991;0.3243770629010126;9.762985
Seyches;44.55324705388869; 0.3097825341918902;Gontaud-de-Nogaret;44.4785114908112;0.3215430965968543;8.357264
Meilhan Adena;44.50866846549428; 0.032461559753953276;La Réole;44.59253145291747;-0.0319999667526807;10.634014
Port Sainte Foy;44.83879498113018; 0.19578562660142287;Pineuilh;44.84100271741451;0.2353811774194503;3.140265
Lévignac de Guyenne;44.62260482830027; 0.2011595329178026;Marmande;44.513901608944;0.1685541667590634;12.354023
Temple sur Lot;44.374757980055044; 0.5067429564488766;Sainte-Livrade-sur-Lot;44.394676888901344;0.6073705539219958;8.318495
Varès;44.41630077566615; 0.33827130859798465;Tonneins;44.41153818489076;0.305753537060125;2.643443
Lamothe Mongauzy;44.56398265471214; 0.03939783444073703;La Réole;44.59253145291747;-0.0319999667526807;6.497730
Le Puy;44.656869723355186; 0.07072361529056334;Auriolles;44.7450061476583;0.0349261376019113;10.196895
Layrac Vigneau;44.10607582025837; 0.6067700483012713;Boé;44.173251634914;0.6630444327021436;8.717306
Bergerac (Abattoir) BO;44.85472329401987; 0.5123279914557339;Bergerac;44.87217582137984;0.4887551212557128;2.689344
Boulazac (Saint Laurent - Abattoir) DFG;45.153084071719825;0.7891231593052502;Boulazac Isle Manoire;45.17756141596894;0.7545018395088633;3.848224
Chamberlanne Aliments;45.225937437644326; 0.04702328764110991;Chalais;45.27480825356522;0.0468723555107812;5.431353
(Blason d'Or ST Laurent) Bergerac DFG;44.85552810703537;0.5223902379690727;Bergerac;44.87217582137984;0.4887551212557128;3.238704
Tomates d'Aquitaine Bergerac;44.8506500843342; 0.45444536724715895;Bergerac;44.835848820878105;0.4854737058031122;2.953549
